product_code,product_name,weight
007,เนยทอด 021005-01,10.0
91-0201,CREAM,15.0
91-0202,CREAM 1x16,16.0
91-0501,BIS,15.0
91-0502,บิสท็อป ฟู้ดเทค,15.0
91-0503,BIS Bowman 18 kg,18.0
91-0504,BIS *Soft,15.0
91-0505,บิสท็อปป์** (A) เนยทอด,10.0
91-0506,BIS Sunmery,15.0
91-0510,BIS TUF,15.0
91-0514,SNOW CP 10 kg,10.0
91-0515,SNOW CAP,15.0
91-0516,SNOW CAP NCS,15.0
91-0521,บลูแค๊ป (15 kg.),15.0
91-0522,BLUE CAP (RO),15.0
91-0523,BLUE CAP ซ07 Thai President,15.0
91-0805,PBTT-05 8 kg,8.0
91-1004,PBTT-04,15.0
91-1205,PBTT-05 12 kg,12.0
91-1605,PBTT-05 16 kg,16.0
91-1650,PBTT-05 MB 16 kg,16.0
91-1805,SHORTENING PBTT-05 18 kg.,18.0
92-0101,CAKE,15.0
92-0102,CAKE 1x16,16.0
92-0103,CAKE *แดง ชาเย็น,15.0
92-0104,CAKE Bun,15.0
92-0105,เค็กท็อปป์ CAKE ตรัง,15.0
92-0106,CAKE CT-32 Thai President,15.0
92-0301,PUFF A,16.0
92-0302,PUFF AA,16.0
92-0303,PUFF,16.0
92-0304,PUFF (S&P),16.0
92-0305,Puff (M),16.0
92-0307,PUFF * 1x16,16.0
92-0308,PUFF ฮากีกิ,16.0
92-0309,PUFF 1 cm,16.0
92-0310,PUFF ภัทรา,16.0
92-0401,YELLOW,15.0
92-0402,YELLOW (ตรัง),15.0
92-0403,YELLOW TUF (เทปแดง),15.0
92-0404,เยลโล่ แค็ป เกลือน้อย,15.0
92-0405,YELLOW 18 kg เฮียเม้ง,18.0
92-0406,YELLOW 1x16,16.0
92-0501,Margarine SLRT,4.0
92-1001,PBTT-01,16.0
92-1002,PBTT-02,15.0
92-1003,PBTT-03,15.0
93-0601,CHEF,5.0
93-0603,เบเกอร์เชฟ,5.0
93-0604,CHEF 50%,5.0
93-0605,CHEF S&P Butter,5.0
93-0606,CHEF ผึ้งน้อย  Butter,5.0
93-0607,GOLDEN CAKE 15 kg,15.0
93-0608,GOLDEN CAKE S&P 5 kg,5.0
93-0609,CHEF 1x15,15.0
93-0610,CHEF ภัทรา,5.0
93-0611,CHEF ปั้ม A เชียงใหม่ (MATE),5.0
93-0612,CHEF 1x12,12.0
93-0701,MATE B ผึ้งน้อย (กล่อง AMF30),5.0
93-0702,MATE เส้น A,5.0
93-0703,MATE จืด,5.0
93-0704,เบเกอร์เมท จืด,5.0
93-0705,เบเกอร์เมท จืด,5.0
93-0706,เบเกอร์เมท จืด,5.0
93-0707,CHEF Yama,5.0
93-0708,เบเกอร์เมทจืด 1*15,15.0
93-0709,CHEF จืด,5.0
93-0710,CHEF จืด ภัทรา(ปรับน้ำหอม),5.0
93-0711,MATE จืด 1x12 กล่องไม่พิมพ์,12.0
93-0712,MATE จืด 10% สวีทชิว,5.0
93-0713,MATE จืด Sunmerry,5.0
93-0801,ARO เค็ม 5 kg,5.0
93-0802,ARO เค็ม 2 kg,2.0
93-0803,ARO จืด 5 kg,5.0
93-0804,ARO จืด 2 kg,2.0
93-0805,FS 1,20.0
93-0901,GOLDEN PUFF,16.0
93-1006,PBTT-06,5.0
93-1008,PBTT-08 FHR,15.0
93-1102,CROWN 1x12,12.0
93-1103,CROWN,5.0
93-1201,HIVE จืด,10.0
93-1301,CROWN จืด,5.0
93-1507,PBTT-07 5 kg,5.0
93-1607,PBTT-07 6 kg,6.0
93-1807,PBTT-07 8 kg,8.0
93-1907,PBTT-07 9 kg,9.0
93-2001,GOLDEN MATE S&P,5.0
93-2002,GOLDEN MATE,5.0
93-2101,GOLDEN MATE จืด,5.0
93-2102,GOLDEN CHEF จืด (G.MATE) ไรย์ เบเกอรี่,5.0
93-2201,GOLDEN CHEF,5.0
93-2202,GOLDEN CHEF 1x12,12.0
93-2301,GOLDEN CHEF จืด,5.0
93-2401,Pastry Blends จืด,5.0
98-01,แป้งกวนไส้ 0.5 X 20 kg.,10.0
99-1009,CHOCOLATE SPREAD PBTT-09,15.0
99-9000,ตัวอย่าง (สำเร็จรูป/วัตถุดิบ),0.0
99-9001,แป้งกวนไส้,10.0
99-9002,แป้งกวนไส้ (FH),10.0
99-9003,น้ำเชื่อม (รุ่น 6X4),24.0
99-9004,น้ำเชื่อม รุ่น20 กก.,20.0
99-9005,บัตเตอร์ ออยส์ (210*80),210.0
99-9006,บัตเตอร์ ออยส์ (18 กก./ ถัง),18.0
99-9007,สารเร่ง SPEED 1000,10.0
99-9008,สารเสริม SOFT & SOFT,10.0
99-9009,แป้งผสมขนม ซอฟท์ เค็ก (10 kg.),10.0
99-9010,แป้งผสมขนม ซอฟท์ โด (10 kg.),10.0
99-9012,ตัวสวัสดีปีใหม่-HAPPY NEW YEAR,0.0
99-9013,ตัวสุขสันต์วันเกิด,0.0
99-9014,HAPPY BIRTH DAYS,0.0
99-9015,ถุงบีบ 30 cm.,0.0
99-9016,ถุงบีบ 40 cm,0.0
99-9017,ถุงบีบ 50 cm,0.0
99-9018,แป้งกวนไส้ 0.5 X 20 kg.,10.0
